Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"On February 20 , 1959 , Prime Minister John Diefenbaker terminated the project and the five completed Arrows were dismantled .","On 20 February 1959 unelected Prime Minister John Diefenbaker terminated the project and dismantled 5 complete arrows.","polarity_negation","Predicted Relationship: neutral with 98.59% confidence."
"On February 20 , 1959 , Prime Minister John Diefenbaker terminated the project and the five completed Arrows were dismantled .","Prime Minister John Diefenbaker terminated the project on February 20 1959 and dismantled 5 arrows.","RS","Predicted Relationship: entailment with 99.67% confidence."
"On February 20 , 1959 , Prime Minister John Diefenbaker terminated the project and the five completed Arrows were dismantled .","Prime Minister John Diefenbaker began the project on February 20 1959 and five arrows were completely dismantled.","antonym","Predicted Relationship: contradiction with 70.02% confidence."
"He was replaced in successive coups by Murtala Mohammed ( 1975 ) and Olusegun Obasanjo ( 1976 ) .","In the successful coup he was replaced by Murtala in 1975 and Olusegun Obasanjo in 1976.","RD","Predicted Relationship: neutral with 70.12% confidence."
"He was replaced in successive coups by Murtala Mohammed ( 1975 ) and Olusegun Obasanjo ( 1976 ) .","In the successful coup he was replaced by Murtala Mohammed in 1975 and Olusegun Obasanjo in 1976.","hypernym","Predicted Relationship: neutral with 67.81% confidence."
"He was replaced in successive coups by Murtala Mohammed ( 1975 ) and Olusegun Obasanjo ( 1976 ) .","In the successful coup he was replaced by Murtala Mohammed in 1975 and Olusegun Obasanjo in 1976.","polarity_negation","Predicted Relationship: neutral with 67.81% confidence."
"He was replaced in successive coups by Murtala Mohammed ( 1975 ) and Olusegun Obasanjo ( 1976 ) .","During the Murtala coup he was replaced by successive Mohammed in 1975 and Olusegun Obasanjo in 1976.","RS","Predicted Relationship: entailment with 96.31% confidence."
"He was replaced in successive coups by Murtala Mohammed ( 1975 ) and Olusegun Obasanjo ( 1976 ) .","He was replaced in the failed coup by Murtala Mohammed in 1975 and Olusegun Obasanjo in 1976.","antonym","Predicted Relationship: neutral with 55.73% confidence."
"The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory ( 278 ) and Frederick Henry Ambrose Scrivener ( number 329 ) .","The manuscript was added to the list by Casar René Gregory who wrote the text 278 of the New Titus 329 written by Henry Ambrose Scrivener.","RD","Predicted Relationship: neutral with 55.28% confidence."
"The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory ( 278 ) and Frederick Henry Ambrose Scrivener ( number 329 ) .","The manuscript was added to the list by the Institute of Casar René Gregory who wrote the text 278 of the New Titus 329 written by Frederick Henry Ambrose Scrivener.","hypernym","Predicted Relationship: neutral with 65.54% confidence."
"The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory ( 278 ) and Frederick Henry Ambrose Scrivener ( number 329 ) .","The manuscript was added to the list by Casar René Gregory who wrote the text 278 of New Titus (329) which was not written by Frederick Henry Ambrose Scrivener.","polarity_negation","Predicted Relationship: contradiction with 95.54% confidence."
"The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory ( 278 ) and Frederick Henry Ambrose Scrivener ( number 329 ) .","René Gregory Frederick who wrote the text 278 of Henry Ambrose Scrivener Caspar's 329 New Titus and Frederick added the manuscript to the list.","RS","Predicted Relationship: entailment with 91.62% confidence."
"The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory ( 278 ) and Frederick Henry Ambrose Scrivener ( number 329 ) .","The manuscript was added to the list by Marc René Gregory who wrote the trade edition 278 of New Titus 329 written by Frederick Henry Ambrose Scrivener.","antonym","Predicted Relationship: contradiction with 50.22% confidence."
"Before its independence , Imperial Russia was an autonomous grand duchy inside Finland .","Before independence Imperial Russia was a grand duchy inside Finland.","RD","Predicted Relationship: entailment with 99.91% confidence."
"Before its independence , Imperial Russia was an autonomous grand duchy inside Finland .","Before independence Imperial Russia was a terrific duchy of autonomy inside Finland.","hypernym","Predicted Relationship: entailment with 71.79% confidence."
"Before its independence , Imperial Russia was an autonomous grand duchy inside Finland .","Before independence Imperial Russia was a grand duchy of autonomy inside Finland.","polarity_negation","Predicted Relationship: entailment with 99.47% confidence."
"Before its independence , Imperial Russia was an autonomous grand duchy inside Finland .","The Grand Duchy of Russia was an Imperial Imperial Duchy inside Finland before independence.","RS","Predicted Relationship: contradiction with 64.05% confidence."
"Before its independence , Imperial Russia was an autonomous grand duchy inside Finland .","Before independence Imperial Russia was a grand duchy of autonomy outside of Finland.","antonym","Predicted Relationship: contradiction with 94.16% confidence."
"At the time , the owner of the country was Mr Johnson , and he agreed to a 99-year lease with a Mr Leslie Vernon Calcutt .","Mr Johnson owned the country at the time and agreed to a 99 year lease with Mr Vernon Calcutt.","RD","Predicted Relationship: entailment with 99.60% confidence."
"At the time , the owner of the country was Mr Johnson , and he agreed to a 99-year lease with a Mr Leslie Vernon Calcutt .","Mr Johnson was in possession of the country at the time and had agreed to a 99 year lease with Mr Leslie Vernon Calcutt.","hypernym","Predicted Relationship: entailment with 99.07% confidence."
"At the time , the owner of the country was Mr Johnson , and he agreed to a 99-year lease with a Mr Leslie Vernon Calcutt .","Mr Johnson owned the country at the time and agreed to a 99 year lease with Mr Leslie Vernon Calcutt.","polarity_negation","Predicted Relationship: entailment with 99.94% confidence."
"At the time , the owner of the country was Mr Johnson , and he agreed to a 99-year lease with a Mr Leslie Vernon Calcutt .","Mr Johnson owned the country at the time and agreed to a 99 year lease with Mr Leslie Vernon Calcutt.","RS","Predicted Relationship: entailment with 99.94% confidence."
"At the time , the owner of the country was Mr Johnson , and he agreed to a 99-year lease with a Mr Leslie Vernon Calcutt .","Mr Johnson owned the urban area at the time and agreed to a 99 year lease with Mr Leslie Vernon Calcutt.","antonym","Predicted Relationship: neutral with 45.19% confidence."
"The Centre 's international programme includes ongoing conferences on writing and literature , as well as regional events for students , academics , citizens of the GCC and residents .","The Centre's international program includes on-going writing and literature conferences and regional events for students academics and GCC citizens and regional people.","RD","Predicted Relationship: entailment with 98.91% confidence."
"The Centre 's international programme includes ongoing conferences on writing and literature , as well as regional events for students , academics , citizens of the GCC and residents .","The Centre's international program includes on-going writing and literature conferences and regional events for students academics GCC citizens and residents.","hypernym","Predicted Relationship: entailment with 99.29% confidence."
"The Centre 's international programme includes ongoing conferences on writing and literature , as well as regional events for students , academics , citizens of the GCC and residents .","The Centre's international program includes ongoing writing and literature conferences and regional events for students academics GCC citizens and non-residents.","polarity_negation","Predicted Relationship: neutral with 78.72% confidence."
"The Centre 's international programme includes ongoing conferences on writing and literature , as well as regional events for students , academics , citizens of the GCC and residents .","The GCC's international program includes on-going writing and literature conferences and regional events for students academics Centre citizens and residents.","RS","Predicted Relationship: entailment with 95.04% confidence."
"The Centre 's international programme includes ongoing conferences on writing and literature , as well as regional events for students , academics , citizens of the GCC and residents .","The Centre's international program includes a stop-on writing and literature conference and regional events for students academics GCC citizens and residents.","antonym","Predicted Relationship: entailment with 52.05% confidence."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","When asked how he said it he told The Digest.","RD","Predicted Relationship: entailment with 99.13% confidence."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","When asked how he said it he told him about The Literary Digest.","hypernym","Predicted Relationship: entailment with 92.76% confidence."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","When asked how he didn't say it he told The Literary Digest.","polarity_negation","Predicted Relationship: contradiction with 98.26% confidence."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","When asked how he said it he told The Literary Digest.","RS","Predicted Relationship: entailment with 98.85% confidence."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","He told The Literary Digest when he omitted how he said it.","antonym","Predicted Relationship: contradiction with 90.10% confidence."
"Audubon Council was formed from the merger of the Shawnee Trails Council and the Four Rivers Council .","The Council was formed by merging the Shawnee Trails Council and the Four Rivers Council.","RD","Predicted Relationship: entailment with 99.68% confidence."
"Audubon Council was formed from the merger of the Shawnee Trails Council and the Four Rivers Council .","The Audubon Council was formed by merging the Shawnee Trails Council and the Four Rivers Council.","hypernym","Predicted Relationship: entailment with 99.91% confidence."
"Audubon Council was formed from the merger of the Shawnee Trails Council and the Four Rivers Council .","The Audubon Council was formed by merging the non-Shawnee Trails Council with the Four Rivers Council.","polarity_negation","Predicted Relationship: contradiction with 93.58% confidence."
"Audubon Council was formed from the merger of the Shawnee Trails Council and the Four Rivers Council .","The Audubon Council was formed by merging the Shawnee Council Four and the Rivers Council Trails.","RS","Predicted Relationship: contradiction with 73.75% confidence."
"Audubon Council was formed from the merger of the Shawnee Trails Council and the Four Rivers Council .","The Audubon Council was formed to disunify the Shawnee Trails Council from the Four Rivers Council.","antonym","Predicted Relationship: contradiction with 98.86% confidence."
"When a surface has a constant Gaussian curvature of zero , it is a developable surface and the geometry of the surface is Euclidean geometry .","If the surface had a constant two-dimensional curvature it would be a developing surface and its geometry would be Euclidean.","RD","Predicted Relationship: neutral with 86.07% confidence."
"When a surface has a constant Gaussian curvature of zero , it is a developable surface and the geometry of the surface is Euclidean geometry .","If the surface had a constant two-dimensional Gaussian curvature it would be a developing surface and its geometry would be Euclidean.","hypernym","Predicted Relationship: neutral with 90.14% confidence."
"When a surface has a constant Gaussian curvature of zero , it is a developable surface and the geometry of the surface is Euclidean geometry .","If the surface had a constant non-zero Gaussian curvature it would be a developing surface and its geometry would be Euclidean.","polarity_negation","Predicted Relationship: contradiction with 84.14% confidence."
"When a surface has a constant Gaussian curvature of zero , it is a developable surface and the geometry of the surface is Euclidean geometry .","If the surface had a Gaussian Euclidean 1:2 curvature it would be a developing surface and its geometry would be a constant geometry.","RS","Predicted Relationship: neutral with 69.05% confidence."
"When a surface has a constant Gaussian curvature of zero , it is a developable surface and the geometry of the surface is Euclidean geometry .","If the surface had a Gaussian inconstant 2C curvature it would be a developing surface and its geometry would be Euclidean.","antonym","Predicted Relationship: neutral with 54.83% confidence."
"Azusa Pacific University 's Azusa campus is situated in the San Gabriel Valley , located northeast of Los Angeles .","The campus of Azusa Pacific University is located in the San Gabriel Valley northeast of Los Angeles.","RD","Predicted Relationship: entailment with 99.71% confidence."
"Azusa Pacific University 's Azusa campus is situated in the San Gabriel Valley , located northeast of Los Angeles .","The campus of Azusa Pacific University is located in the San Gabriel Valley northeast of Los Angeles.","hypernym","Predicted Relationship: entailment with 99.71% confidence."
"Azusa Pacific University 's Azusa campus is situated in the San Gabriel Valley , located northeast of Los Angeles .","The campus of Azusa Pacific University is located in Azusa in the San Gabriel Valley not northeast of Los Angeles.","polarity_negation","Predicted Relationship: entailment with 92.02% confidence."
"Azusa Pacific University 's Azusa campus is situated in the San Gabriel Valley , located northeast of Los Angeles .","The campus of Azusa University Los is located in the San Gabriel Valley northeast of the Pacific.","RS","Predicted Relationship: neutral with 51.86% confidence."
"Azusa Pacific University 's Azusa campus is situated in the San Gabriel Valley , located northeast of Los Angeles .","The campus of Azusa Pacific University is located in Azusa in the San Gabriel Valley northeast of Los Angeles.","antonym","Predicted Relationship: entailment with 99.43% confidence."
"The wrestler then jumps forward and swings around to fall backwards and let the opponent 's head drop into a mat .","The wrestler then jumped forward and swung around to fall and let the opponent drop his head on the mat.","RD","Predicted Relationship: entailment with 99.24% confidence."
"The wrestler then jumps forward and swings around to fall backwards and let the opponent 's head drop into a mat .","The wrestler then jumps forward and swings around to fall backwards and let the opposing shape head drop to the mat.","hypernym","Predicted Relationship: neutral with 77.64% confidence."
"The wrestler then jumps forward and swings around to fall backwards and let the opponent 's head drop into a mat .","The wrestler then jumps forward and swings around to fall backwards and let the non-opposer's head drop to the mat.","polarity_negation","Predicted Relationship: contradiction with 96.66% confidence."
"The wrestler then jumps forward and swings around to fall backwards and let the opponent 's head drop into a mat .","In opposition the wrestler jumps forward and swings around to fall backwards and let the then-worst drop his head on the mat.","RS","Predicted Relationship: neutral with 75.38% confidence."
"The wrestler then jumps forward and swings around to fall backwards and let the opponent 's head drop into a mat .","The wrestler then jumped forward and swung around to fall backwards and let the opponent's head recuperate on the mat.","antonym","Predicted Relationship: neutral with 90.52% confidence."
"The final line of the third verse was changed during the reign of Alexander I of Yugoslavia in `` Kralja Aleksandra , Bože hrani '' .","In the music Kralja Aleksandra Boe the final line of verse 3 changed during the reign of Alexander I.","RD","Predicted Relationship: entailment with 94.62% confidence."
"The final line of the third verse was changed during the reign of Alexander I of Yugoslavia in `` Kralja Aleksandra , Bože hrani '' .","The third verse's final line is a occurrence in the reign of Alexander I in the music Kralja Aleksandra Boe hrani.","hypernym","Predicted Relationship: entailment with 85.53% confidence."
"The final line of the third verse was changed during the reign of Alexander I of Yugoslavia in `` Kralja Aleksandra , Bože hrani '' .","The final line of verse 3 of the third (un) verse was changed in the reign of Alexander I in the music Kralja Aleksandra Boe hrani.","polarity_negation","Predicted Relationship: entailment with 71.87% confidence."
"The final line of the third verse was changed during the reign of Alexander I of Yugoslavia in `` Kralja Aleksandra , Bože hrani '' .","The final line of verse 3 changed in the reign of Alexander Boe in the music Kralja Alexandra Horani I.","RS","Predicted Relationship: entailment with 42.65% confidence."
"The final line of the third verse was changed during the reign of Alexander I of Yugoslavia in `` Kralja Aleksandra , Bože hrani '' .","The final line of verse 3 changed in the reign of Alexander I in the music Kralja Aleksandra Boe hrani.","antonym","Predicted Relationship: entailment with 81.70% confidence."
"In 1864 , the United Presbyterian Missionary Society of China sent its representatives to Scotland .","In 1864 the United Missionary Society of China sent representatives to Scotland.","RD","Predicted Relationship: entailment with 99.65% confidence."
"In 1864 , the United Presbyterian Missionary Society of China sent its representatives to Scotland .","In 1864 the United Presbyterian Missionary Society of China sent a verbatim to Scotland.","hypernym","Predicted Relationship: entailment with 72.49% confidence."
"In 1864 , the United Presbyterian Missionary Society of China sent its representatives to Scotland .","In 1864 the United Presbyterian Missionary Society of China sent its representatives to non-Scotland.","polarity_negation","Predicted Relationship: neutral with 84.72% confidence."
"In 1864 , the United Presbyterian Missionary Society of China sent its representatives to Scotland .","In 1864 the United Presbyterian Missionary Society of China sent representatives to Scotland.","RS","Predicted Relationship: entailment with 99.94% confidence."
"In 1864 , the United Presbyterian Missionary Society of China sent its representatives to Scotland .","In 1864 the United Presbyterian Missionary Society of China sent a prosecution to Scotland.","antonym","Predicted Relationship: neutral with 80.02% confidence."
"Dusty Baker became the first black manager to join and participate in a World Series since Cito Gaston for Toronto .","Dusty Baker became the first black manager to join the World Series and participate in the game since Galston for Toronto.","RD","Predicted Relationship: entailment with 98.75% confidence."
"Dusty Baker became the first black manager to join and participate in a World Series since Cito Gaston for Toronto .","Dusty Baker became the first black manager to join the World Series and participate in the game since Cito Galston for Toronto.","hypernym","Predicted Relationship: entailment with 98.56% confidence."
"Dusty Baker became the first black manager to join and participate in a World Series since Cito Gaston for Toronto .","Dusty Baker became the first black manager to join the World Series and participate in the World Series since Citi Galston for Toronto.","polarity_negation","Predicted Relationship: entailment with 99.46% confidence."
"Dusty Baker became the first black manager to join and participate in a World Series since Cito Gaston for Toronto .","Dusty Baker became the first black to join the World of Management and the first participant in the World of Management since Citito Galston for Toronto.","RS","Predicted Relationship: neutral with 90.01% confidence."
"Dusty Baker became the first black manager to join and participate in a World Series since Cito Gaston for Toronto .","Dusty Baker became the first black failure to join the World Series and participate in the series since Cito Galston for Toronto.","antonym","Predicted Relationship: contradiction with 64.97% confidence."
"She was executed on 3 May 1947 , 24 minutes after Elisabeth Marschall , by Albert Pierrepoint in the prison of Hameln for her crimes at 9 : 55 .","Albert Pierrepoint executed her at the Hamon prison for her crime at 9:55 p.m. on May 3 24 minutes after Elisabeth Marshal.","RD","Predicted Relationship: entailment with 77.44% confidence."
"She was executed on 3 May 1947 , 24 minutes after Elisabeth Marschall , by Albert Pierrepoint in the prison of Hameln for her crimes at 9 : 55 .","On May 3 1947 Albert Pierrepoint executed her for her crime in the Hamon prison at 9:55 p.m. 24 minutes after Elisabeth Marshal.","hypernym","Predicted Relationship: entailment with 87.43% confidence."
"She was executed on 3 May 1947 , 24 minutes after Elisabeth Marschall , by Albert Pierrepoint in the prison of Hameln for her crimes at 9 : 55 .","Albert Pierrepoint executed her on May 3 1947 for her crimes at the Hamon prison at 9:55 p.m. 24 minutes after Elisabeth Marshal.","polarity_negation","Predicted Relationship: entailment with 82.58% confidence."
"She was executed on 3 May 1947 , 24 minutes after Elisabeth Marschall , by Albert Pierrepoint in the prison of Hameln for her crimes at 9 : 55 .","On May 3 1947 Albert Pierrepoint executed her for her crime at the Hamon prison at the age of 24 minutes after Elisabeth Marshal.","RS","Predicted Relationship: entailment with 75.65% confidence."
"She was executed on 3 May 1947 , 24 minutes after Elisabeth Marschall , by Albert Pierrepoint in the prison of Hameln for her crimes at 9 : 55 .","On May 3 1947 Albert Pierrepoint executed her for her crime in the Hamon prison at 9:55 p.m. 24 minutes after Elisabeth Marshal.","antonym","Predicted Relationship: entailment with 87.43% confidence."
"The team also toured in Australia in 1953 and Asia in August 1959 .","The team also toured Australia and Asia in 1959 and 1953.","RD","Predicted Relationship: entailment with 96.04% confidence."
"The team also toured in Australia in 1953 and Asia in August 1959 .","The team also toured Australia and Asia in August 1959 and August 1953.","hypernym","Predicted Relationship: neutral with 65.51% confidence."
"The team also toured in Australia in 1953 and Asia in August 1959 .","The team also toured Australia and non-Asia in August 1959 and 1953.","polarity_negation","Predicted Relationship: neutral with 78.76% confidence."
"The team also toured in Australia in 1953 and Asia in August 1959 .","The team also toured Australia and Asia in 1959 and 1953.","RS","Predicted Relationship: entailment with 96.04% confidence."
"The team also toured in Australia in 1953 and Asia in August 1959 .","The team also toured Australia and Asia in August 1959 and 1953.","antonym","Predicted Relationship: entailment with 96.11% confidence."
"The possible syllable structures are V , CV or CCV , whereas the second consonant is .","The syllable is structured as a V or a CV but is a second consonant.","RD","Predicted Relationship: entailment with 95.74% confidence."
"The possible syllable structures are V , CV or CCV , whereas the second consonant is .","The syllables are structured as V or v in the opening but are second consonants.","hypernym","Predicted Relationship: neutral with 87.26% confidence."
"The possible syllable structures are V , CV or CCV , whereas the second consonant is .","The syllables can be structured as V or CV but are not 2 digits.","polarity_negation","Predicted Relationship: entailment with 55.09% confidence."
"The possible syllable structures are V , CV or CCV , whereas the second consonant is .","The syllables can be structured as a second consonant or a CV but as a fourth consonant the fourth consonant is the V.","RS","Predicted Relationship: neutral with 89.10% confidence."
"The possible syllable structures are V , CV or CCV , whereas the second consonant is .","The syllable is perhaps structured as a V or a CV consonant but is a second vowel.","antonym","Predicted Relationship: contradiction with 66.19% confidence."
"The built methodist chapel is one of the few brick buildings in Upsall .","The built chapel is one of a few brick buildings in Upsall.","RD","Predicted Relationship: entailment with 99.81% confidence."
"The built methodist chapel is one of the few brick buildings in Upsall .","One of the few brick buildings in Upsall is a methodist-built house-of-worship.","hypernym","Predicted Relationship: entailment with 99.92% confidence."
"The built methodist chapel is one of the few brick buildings in Upsall .","A methodist built chapel is one of a few unbrick buildings in Upsall.","polarity_negation","Predicted Relationship: contradiction with 97.78% confidence."
"The built methodist chapel is one of the few brick buildings in Upsall .","Upsall is one of a few brick-built buildings.","RS","Predicted Relationship: contradiction with 64.14% confidence."
"The built methodist chapel is one of the few brick buildings in Upsall .","The methodist built chapel is excluded from a few brick buildings in Upsall.","antonym","Predicted Relationship: contradiction with 89.65% confidence."
"In the summer of 1924 he went to Smackover in South-Arkansas to work in the oil boom in an office in Norphlet near Union County .","In 1924 he went to Smackover south of Arkansas to work on the oil boom at the Norphlet office near Union County.","RD","Predicted Relationship: entailment with 98.83% confidence."
"In the summer of 1924 he went to Smackover in South-Arkansas to work in the oil boom in an office in Norphlet near Union County .","In summer 1924 he went to Smackover south of Arkansas to work on the oil boom at the Norphlet office penny-pinching Union County.","hypernym","Predicted Relationship: neutral with 95.29% confidence."
"In the summer of 1924 he went to Smackover in South-Arkansas to work in the oil boom in an office in Norphlet near Union County .","In summer 1924 he went to Smackover south of Arkansas to work in the oil - boom office of Norwayt near Union County.","polarity_negation","Predicted Relationship: entailment with 97.78% confidence."
"In the summer of 1924 he went to Smackover in South-Arkansas to work in the oil boom in an office in Norphlet near Union County .","In summer 1924 he went to oil town in southern Arkansas to work in the " Smackover " boom at Norphlet an office near Union County.","RS","Predicted Relationship: entailment with 98.20% confidence."
"In the summer of 1924 he went to Smackover in South-Arkansas to work in the oil boom in an office in Norphlet near Union County .","In summer 1924 he malfunctioned in Smackover south of Arkansas to work on the oil boom at his Norphlet office near Union County.","antonym","Predicted Relationship: entailment with 62.07% confidence."
"Seven floors of the building are dedicated to additional parking , and there is an internal parking ramp connected to the building .","The building's floors are dedicated to additional parking and there is an internal connected parking ramp.","RD","Predicted Relationship: entailment with 99.23% confidence."
"Seven floors of the building are dedicated to additional parking , and there is an internal parking ramp connected to the building .","7 floors of the building are dedicated to additional bowling and there is an internal connected parking ramp.","hypernym","Predicted Relationship: contradiction with 61.77% confidence."
"Seven floors of the building are dedicated to additional parking , and there is an internal parking ramp connected to the building .","7 floors of the building are dedicated to additional parking and there is an internal unconnected parking ramp.","polarity_negation","Predicted Relationship: contradiction with 66.98% confidence."
"Seven floors of the building are dedicated to additional parking , and there is an internal parking ramp connected to the building .","The building's floor parking is dedicated to additional parking and there is an internal ramp connected to the building for 7.","RS","Predicted Relationship: entailment with 87.25% confidence."
"Seven floors of the building are dedicated to additional parking , and there is an internal parking ramp connected to the building .","7 floors of the building are dedicated to takeaway parking and there is an internal connected parking ramp.","antonym","Predicted Relationship: neutral with 46.76% confidence."
"In 1920 and 1921 in Venice the Italians won -- no other nation entered in 1920 , and in 1921 the French did not start .","The Italians won in 1920 and 1921 on the island of io other nations did not enter in 1920 and the French did not start there.","RD","Predicted Relationship: neutral with 65.56% confidence."
"In 1920 and 1921 in Venice the Italians won -- no other nation entered in 1920 , and in 1921 the French did not start .","The Italians advanced in 1920 and 1921 on Venice other nations did not enter in 1920 and the French did not start there.","hypernym","Predicted Relationship: entailment with 99.09% confidence."
"In 1920 and 1921 in Venice the Italians won -- no other nation entered in 1920 , and in 1921 the French did not start .","In 1920 and 1921 on Venice the Italians won the other nations did not enter and the French didn't start.","polarity_negation","Predicted Relationship: entailment with 99.54% confidence."
"In 1920 and 1921 in Venice the Italians won -- no other nation entered in 1920 , and in 1921 the French did not start .","The Italians won in 1920 and 1921 in other islands the Venice nation did not enter 1920 and the French didn't start in 1920.","RS","Predicted Relationship: neutral with 40.61% confidence."
"In 1920 and 1921 in Venice the Italians won -- no other nation entered in 1920 , and in 1921 the French did not start .","The Italians lost in 1920 and 1921 on Venice other nations did not enter in 1920 and the French did not start there.","antonym","Predicted Relationship: contradiction with 83.24% confidence."
"The Swedish Ice Hockey World Championship in 1932 won the 11th season of the Swedish Ice Hockey Championship , Sweden 's National Championship , Hammarby IF was the championship .","The 1932 Swedish Ice Hockey World Championship won the 11th season of the Swedish Ice Hockey National Championship in Stockholm.","RD","Predicted Relationship: neutral with 90.40% confidence."
"The Swedish Ice Hockey World Championship in 1932 won the 11th season of the Swedish Ice Hockey Championship , Sweden 's National Championship , Hammarby IF was the championship .","The 1932 Swedish Ice Hockey World Cup won the 11th season of the Swedish Ice Hockey National Championship in Key Out Hammarby.","hypernym","Predicted Relationship: neutral with 90.42% confidence."
"The Swedish Ice Hockey World Championship in 1932 won the 11th season of the Swedish Ice Hockey Championship , Sweden 's National Championship , Hammarby IF was the championship .","The 1932 Swedish Ice Hockey World Cup won the 11th season of the non-Swedish Ice Hockey National Championship in Hammarby.","polarity_negation","Predicted Relationship: contradiction with 85.14% confidence."
"The Swedish Ice Hockey World Championship in 1932 won the 11th season of the Swedish Ice Hockey Championship , Sweden 's National Championship , Hammarby IF was the championship .","The 1932 Swedish Ice Hockey Championship Hammerby won the 11th season of the World Ice Hockey National Championship in Sweden.","RS","Predicted Relationship: entailment with 78.34% confidence."
"The Swedish Ice Hockey World Championship in 1932 won the 11th season of the Swedish Ice Hockey Championship , Sweden 's National Championship , Hammarby IF was the championship .","The 1932 Swedish Ice Hockey World Championship fell back on the 11th season of the Swedish Ice Hockey National Championship in Hammarby.","antonym","Predicted Relationship: entailment with 83.00% confidence."
"The JoyKey has no moving parts , no corks that can break , or springs that can be worn .","JoyKey doesn't have moving parts broken corks or wearable springs.","RD","Predicted Relationship: entailment with 99.79% confidence."
"The JoyKey has no moving parts , no corks that can break , or springs that can be worn .","JoyKey doesn't get on with moving parts broken corks or worn springs.","hypernym","Predicted Relationship: entailment with 98.60% confidence."
"The JoyKey has no moving parts , no corks that can break , or springs that can be worn .","JoyKey doesn't have any moving parts broken corks or wearable springs.","polarity_negation","Predicted Relationship: entailment with 99.78% confidence."
"The JoyKey has no moving parts , no corks that can break , or springs that can be worn .","JoyKey doesn't have moving parts broken corks or wearable springs.","RS","Predicted Relationship: entailment with 99.79% confidence."
"The JoyKey has no moving parts , no corks that can break , or springs that can be worn .","JoyKey doesn't have any moving parts promotional corks or wearable springs.","antonym","Predicted Relationship: entailment with 90.02% confidence."
"He was an Invited Speaker of the ICM in Toronto in 1924 , in 1932 in Zurich , and in 1936 in Oslo .","In Toronto he was an invited speaker to the ICM in 1932 1932 and 1936.","RD","Predicted Relationship: contradiction with 61.63% confidence."
"He was an Invited Speaker of the ICM in Toronto in 1924 , in 1932 in Zurich , and in 1936 in Oslo .","In Toronto he was an invited speaker to the ICM from 1924 1932 1932 and 1936.","hypernym","Predicted Relationship: entailment with 94.44% confidence."
"He was an Invited Speaker of the ICM in Toronto in 1924 , in 1932 in Zurich , and in 1936 in Oslo .","In Toronto he was an invited speaker to the ICM in 1924 1932 1932 and 1936.","polarity_negation","Predicted Relationship: entailment with 92.50% confidence."
"He was an Invited Speaker of the ICM in Toronto in 1924 , in 1932 in Zurich , and in 1936 in Oslo .","He was an invited speaker to the ICM in 1924 1932 1932 and 1936 in Toronto.","RS","Predicted Relationship: contradiction with 63.50% confidence."
"He was an Invited Speaker of the ICM in Toronto in 1924 , in 1932 in Zurich , and in 1936 in Oslo .","In Toronto he was an invited speaker and abstinent ICM speaker from 1924 1932 1932 and 1936.","antonym","Predicted Relationship: neutral with 99.21% confidence."
"The music was written by A. T. Ummer and the texts by P. Bhaskaran composed .","A. T. wrote the music and P. Bhaskaran composed the text.","RD","Predicted Relationship: entailment with 99.71% confidence."
"The music was written by A. T. Ummer and the texts by P. Bhaskaran composed .","A. T. Ummer wrote the music and soma P. Bhaskaran composed the text.","hypernym","Predicted Relationship: entailment with 99.01% confidence."
"The music was written by A. T. Ummer and the texts by P. Bhaskaran composed .","Not A. T. Ummer wrote the music and P. Bhaskaran composed the text.","polarity_negation","Predicted Relationship: entailment with 64.70% confidence."
"The music was written by A. T. Ummer and the texts by P. Bhaskaran composed .","A. Ummer P. wrote the music and Bhaskaran T. composed the text.","RS","Predicted Relationship: contradiction with 98.88% confidence."
"The music was written by A. T. Ummer and the texts by P. Bhaskaran composed .","A. T. Ummer wrote the music and P. Bhaskaran composed the trade edition.","antonym","Predicted Relationship: neutral with 95.28% confidence."
"Gugark ( , ) was the 13th province of Greater Armenia . It now comprises parts of northern Armenia , northeast Turkey , and southwest Georgia .","Gugark is the 13th city in the Greater Province.","RD","Predicted Relationship: neutral with 55.75% confidence."
"Gugark ( , ) was the 13th province of Greater Armenia . It now comprises parts of northern Armenia , northeast Turkey , and southwest Georgia .","b>Gugark/b> (i>Gugark/i>) is a 13th province in Greater Armenia.","hypernym","Predicted Relationship: entailment with 96.60% confidence."
"Gugark ( , ) was the 13th province of Greater Armenia . It now comprises parts of northern Armenia , northeast Turkey , and southwest Georgia .","Gugark is the 13th province of Ungarn not the Republic of Great Armenia.","polarity_negation","Predicted Relationship: contradiction with 91.15% confidence."
